               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.083563,             0.24927,            0.023789,            0.011667,             0.27632,           0.0081863,           0.0011994,            0.091368,             0.20256,            0.029978,          0.00072953,          0.00072953,             0.09343
                  37,            0.080467,             0.26578,            0.022894,            0.012222,             0.28947,           0.0098949,           0.0014845,            0.091104,             0.20293,             0.03005,          0.00074949,          0.00074949,            0.093249
                  38,            0.081412,              0.2736,            0.022893,            0.012222,             0.28947,           0.0089787,           0.0013075,             0.09123,             0.20283,            0.030133,          0.00076945,          0.00076945,            0.093069
                  39,            0.085012,             0.27952,            0.023157,            0.011944,             0.28289,           0.0085011,           0.0012001,            0.091425,             0.20268,            0.030212,          0.00078941,          0.00078941,            0.092889
                  40,            0.082381,              0.2721,            0.023105,            0.011389,             0.26974,           0.0076744,           0.0011105,            0.091566,             0.20251,            0.030284,          0.00080936,          0.00080936,            0.092709
                  41,            0.081728,             0.26449,            0.022935,            0.012871,             0.10526,           0.0095758,           0.0013166,            0.091488,             0.20293,            0.030359,          0.00082931,          0.00082931,            0.092529
                  42,            0.083857,             0.28574,            0.022575,            0.011389,             0.26974,           0.0080061,           0.0010881,            0.091475,             0.20317,            0.030431,          0.00084926,          0.00084926,            0.092349
                  43,            0.082622,             0.27569,            0.023114,            0.011389,             0.26974,           0.0081212,           0.0011395,            0.091254,              0.2036,              0.0305,          0.00086921,          0.00086921,            0.092169
                  44,            0.079075,             0.26212,            0.022939,            0.015858,            0.072368,           0.0082315,           0.0011249,            0.091126,             0.20407,            0.030564,          0.00088915,          0.00088915,            0.091989
                  45,            0.082067,             0.24716,            0.023052,            0.012778,             0.30263,            0.010004,           0.0013818,            0.090744,              0.2047,            0.030622,          0.00090909,          0.00090909,            0.091809
                  46,            0.081336,             0.28111,            0.022949,            0.015202,             0.34211,            0.013275,           0.0018055,            0.090821,              0.2048,            0.030688,          0.00092903,          0.00092903,            0.091629
                  47,            0.080958,             0.26116,            0.022569,            0.011944,             0.28289,           0.0088331,           0.0012589,             0.09069,             0.20504,            0.030755,          0.00094896,          0.00094896,            0.091449
                  48,            0.078705,             0.25476,            0.022068,              0.0125,             0.29605,           0.0092277,           0.0013182,            0.090759,             0.20473,            0.030831,           0.0009689,           0.0009689,            0.091269
